ae_indep_qiskit_2.qasm,ae_indep_qiskit_3.qasm,ae_indep_qiskit_4.qasm,ae_indep_qiskit_5.qasm,ae_indep_qiskit_6.qasm,ae_indep_qiskit_7.qasm,ae_indep_qiskit_8.qasm,dj_indep_qiskit_2.qasm,dj_indep_qiskit_3.qasm,dj_indep_qiskit_4.qasm,dj_indep_qiskit_5.qasm,dj_indep_qiskit_6.qasm,dj_indep_qiskit_7.qasm,dj_indep_qiskit_8.qasm,ghz_indep_qiskit_2.qasm,ghz_indep_qiskit_3.qasm,ghz_indep_qiskit_4.qasm,ghz_indep_qiskit_5.qasm,ghz_indep_qiskit_6.qasm,ghz_indep_qiskit_7.qasm,ghz_indep_qiskit_8.qasm,graphstate_indep_qiskit_3.qasm,graphstate_indep_qiskit_4.qasm,graphstate_indep_qiskit_5.qasm,graphstate_indep_qiskit_6.qasm,graphstate_indep_qiskit_7.qasm,graphstate_indep_qiskit_8.qasm,grover-noancilla_indep_qiskit_2.qasm,grover-noancilla_indep_qiskit_3.qasm,grover-noancilla_indep_qiskit_4.qasm,grover-noancilla_indep_qiskit_5.qasm,qaoa_indep_qiskit_3.qasm,qaoa_indep_qiskit_4.qasm,qaoa_indep_qiskit_5.qasm,qaoa_indep_qiskit_6.qasm,qaoa_indep_qiskit_7.qasm,qaoa_indep_qiskit_8.qasm,qft_indep_qiskit_2.qasm,qft_indep_qiskit_3.qasm,qft_indep_qiskit_4.qasm,qft_indep_qiskit_6.qasm,qft_indep_qiskit_7.qasm,qft_indep_qiskit_8.qasm,qnn_indep_qiskit_2.qasm,qnn_indep_qiskit_3.qasm,qnn_indep_qiskit_4.qasm,qnn_indep_qiskit_5.qasm,qnn_indep_qiskit_6.qasm,qnn_indep_qiskit_7.qasm,qnn_indep_qiskit_8.qasm,qpeexact_indep_qiskit_2.qasm,qpeexact_indep_qiskit_3.qasm,qpeexact_indep_qiskit_4.qasm,qpeexact_indep_qiskit_5.qasm,qpeexact_indep_qiskit_6.qasm,qpeexact_indep_qiskit_7.qasm,qpeexact_indep_qiskit_8.qasm,qwalk-noancilla_indep_qiskit_3.qasm,qwalk-noancilla_indep_qiskit_4.qasm,realamprandom_indep_qiskit_2.qasm,realamprandom_indep_qiskit_3.qasm,realamprandom_indep_qiskit_4.qasm,realamprandom_indep_qiskit_5.qasm,realamprandom_indep_qiskit_6.qasm,realamprandom_indep_qiskit_7.qasm,realamprandom_indep_qiskit_8.qasm,su2random_indep_qiskit_2.qasm,su2random_indep_qiskit_3.qasm,su2random_indep_qiskit_4.qasm,su2random_indep_qiskit_5.qasm,su2random_indep_qiskit_6.qasm,su2random_indep_qiskit_7.qasm,su2random_indep_qiskit_8.qasm,twolocalrandom_indep_qiskit_2.qasm,twolocalrandom_indep_qiskit_3.qasm,twolocalrandom_indep_qiskit_4.qasm,twolocalrandom_indep_qiskit_5.qasm,twolocalrandom_indep_qiskit_6.qasm,twolocalrandom_indep_qiskit_7.qasm,twolocalrandom_indep_qiskit_8.qasm,vqe_indep_qiskit_3.qasm,vqe_indep_qiskit_4.qasm,vqe_indep_qiskit_5.qasm,vqe_indep_qiskit_6.qasm,vqe_indep_qiskit_7.qasm,vqe_indep_qiskit_8.qasm,wstate_indep_qiskit_2.qasm,wstate_indep_qiskit_3.qasm,wstate_indep_qiskit_4.qasm,wstate_indep_qiskit_5.qasm,wstate_indep_qiskit_6.qasm,wstate_indep_qiskit_7.qasm,wstate_indep_qiskit_8.qasm
2,3,4,5,6,7,8,2,3,4,5,6,7,8,2,3,4,5,6,7,8,3,4,5,6,7,8,2,3,4,5,3,4,5,6,7,8,2,3,4,6,7,8,2,3,4,5,6,7,8,2,3,4,5,6,7,8,3,4,2,3,4,5,6,7,8,2,3,4,5,6,7,8,2,3,4,5,6,7,8,3,4,5,6,7,8,2,3,4,5,6,7,8
25,77,133,247,341,497,639,15,27,29,67,69,116,139,17,23,34,41,46,58,67,51,42,92,111,57,79,7,94,626,2112,156,140,202,203,157,146,25,77,146,325,467,658,41,172,336,538,857,1028,1059,15,28,84,234,300,392,618,645,2949,37,148,314,610,902,1108,1513,41,157,330,635,1027,930,1542,37,158,314,608,888,1015,1511,41,57,63,79,87,92,25,42,59,71,84,96,103
38,117,194,365,536,833,1145,24,57,61,129,155,223,305,31,47,72,89,99,126,155,93,102,167,228,210,222,12,149,845,3618,233,290,381,505,530,658,35,113,200,560,844,1244,74,268,490,922,1537,2213,2793,29,52,124,350,519,818,1188,1128,4387,61,292,559,1054,1800,2573,3636,74,305,583,1111,1910,2340,3775,61,305,559,1055,1772,2437,3694,91,138,176,234,268,303,41,94,129,183,217,260,301
0.9620753826396283,0.8869553169823235,0.9758084631812939,0.6794058647010007,0.5572786160650538,0.676764260334471,0.5056666484693864,0.9823885450146106,0.9665164575276844,0.9709198413770943,0.9294445485178732,0.8576402813790793,0.8408661088143189,0.739123709709219,0.9809515124560712,0.9737911632803466,0.973286810653698,0.9555679246693858,0.9555903739441417,0.9599777788560646,0.9505428314275055,0.9294888029535762,0.9503160117717607,0.8656999184105151,0.9282856496555322,0.9488108575244549,0.7850774409777191,0.9994683315646922,0.8684511815737777,0.5474031362425855,0.14987083981893226,0.758554365200254,0.8286528379424035,0.7112358903968943,0.8552181508670702,0.5781455523405787,0.5784343750623714,0.9667881195450485,0.8877751819742156,0.9783551222704993,0.7915664281816386,0.4429704351291491,0.38525734940167666,0.9481269723954506,0.7399705560933517,0.9329844701736275,0.4145305553504107,0.1884995154387097,0.34307277466646574,0.146040648365827,0.9812845188994181,0.9627210056946723,0.9843182345369326,0.7088566462011947,0.5908672482534756,0.7865297161064011,0.4201998732170247,0.2805323282944288,0.13356928122247436,0.9431568012799384,0.7579159536857568,0.9323768249003828,0.4055708460728031,0.1477230495396158,0.08637350001088058,0.06498277153024441,0.9425769122781605,0.7532533045714392,0.9300912476166997,0.40017763106328624,0.13529751268476858,0.16411266330798605,0.05106633180908913,0.9431568012799384,0.7257951304356868,0.9323768249003828,0.3900245918992599,0.5328833606113498,0.1000720118739281,0.04998317797127888,0.9402386680788802,0.9422429206808409,0.8896043160375398,0.9061139495646948,0.8844515372156069,0.8623233653092814,0.9656252496987588,0.946910474481116,0.9480260424085813,0.9126880242816717,0.910543484894172,0.9132569015806304,0.8989564242570204
0.9809947353877595,0.9131473511494638,0.871119343902198,0.6999738693243063,0.5779224579478219,0.4284280697086368,0.2883304117980238,0.9901783728222993,0.9782645694642339,0.9628606591361087,0.9225475661774969,0.902825739607415,0.8576805368604008,0.7665116684406734,0.9909543265017685,0.9786354107431962,0.9660510350301171,0.9529819466977298,0.9417053268963048,0.9305812926551493,0.9132780617872014,0.9394355878098971,0.9361112509799913,0.8818403495467373,0.8443627588299556,0.8774579833716221,0.8732203669854144,0.9990389250076894,0.9015146865395122,0.4676322458237727,0.04663353369970801,0.8341345583011851,0.7888904143405896,0.7226029839191926,0.6302362448059899,0.6881644831910928,0.5278298705796699,0.9812122329418232,0.9132376011945691,0.8567255024773016,0.5794671006247502,0.43374607019190065,0.27261029555928634,0.9805217809608792,0.8181938948530809,0.695433869667026,0.41820167329638985,0.21363501099411655,0.10369750059433823,0.05192418753724753,0.9900127409151234,0.9690566651955118,0.9253096518258318,0.7161772902040231,0.5945374019712261,0.4479099668759704,0.29001949883179945,0.41362813324328435,0.02724560369996488,0.9698008207556751,0.8636424266240174,0.7083676233740347,0.4168782571946559,0.2055864010467201,0.09781937366263871,0.026173688335022947,0.9694764013798184,0.8630257232627967,0.694203931945792,0.4107887577894241,0.1853494787519775,0.12093624255495834,0.024433928938909905,0.9698008207556751,0.8527817295960104,0.7083676233740347,0.4036267134439544,0.21848784663054133,0.10985990958839648,0.023674863419230006,0.9571168600337896,0.9299334230623572,0.9042524785876522,0.8782241709379754,0.8518741776040561,0.8284793793370671,0.9800185995637782,0.9574628899933515,0.9334233865640355,0.9061894649218454,0.8833343352697597,0.85790814249688,0.8313241626680786
"(0.8691030035531716, 0.9644943400816777)","(0.0, 0.8394521024010365)","(0.0, 0.7678040632651921)","(0.0, 0.5039922852948407)","(0.0, 0.34934186966649244)","(0.0, 0.19557595329380817)","(0.0, 0.09142141218083644)","(0.9716319643202136, 0.9818156258642059)","(0.9056572130280318, 0.960308198949756)","(0.7806614231590481, 0.9325060621138852)","(0.00011374643457662, 0.8596208060297691)","(1.1574186055404497e-11, 0.8253618500104564)","(0.0, 0.7476673935139944)","(0.0, 0.602173293918783)","(0.9741508073782873, 0.9833370265167414)","(0.9047105797861886, 0.9606722333140918)","(0.7972677407484348, 0.9382347103990366)","(0.6480784937035992, 0.91496378375619)","(0.4965982599602564, 0.8935595856191159)","(0.3535007996813186, 0.8727237277553848)","(0.2068737171777874, 0.8437268467981057)","(0.0006059604665335236, 0.8872607094697011)","(0.1500935965045446, 0.8829788810962456)","(4.20413562497678e-51, 0.7880764184940219)","(0.0, 0.7251281611204791)","(8.177055362597075e-07, 0.7806035019184017)","(5.261194516529632e-06, 0.7749552064207698)","(0.9990389250076894, 0.9990389250076894)","(0.0, 0.8204756043646656)","(0.0, 0.23545329913420474)","(0.0, 0.0028446916729322584)","(0.0, 0.7060328756354828)","(0.0, 0.6365528509460402)","(0.0, 0.5393842499642836)","(0.0, 0.4131298595577333)","(0.0, 0.49162620381749556)","(0.0, 0.2928132475512421)","(0.8721911738437518, 0.9647081793127241)","(0.0, 0.8395350688467154)","(0.0, 0.7418798660715192)","(0.0, 0.34938125309621787)","(0.0, 0.2023962795709925)","(0.0, 0.08251029448799918)","(0.6684743211073682, 0.9648048022641749)","(0.0, 0.681956613403659)","(0.0, 0.49996591827634346)","(0.0, 0.18794221027839408)","(0.0, 0.05213148173863839)","(0.0, 0.012835600580446263)","(0.0, 0.003212786416302569)","(0.971469434760146, 0.9816513928340063)","(0.719494785502836, 0.9417622845868503)","(0.0, 0.8623914915394023)","(0.0, 0.5266124848608824)","(0.0, 0.36826014619915803)","(0.0, 0.2135869552169295)","(0.0, 0.09143446710116761)","(0.0, 0.1833502296992051)","(0.0, 0.0011164466956475735)","(0.5340225872880477, 0.945435830674388)","(0.0, 0.7594889292226665)","(0.0, 0.5205110812787653)","(0.0, 0.18986114215682026)","(0.0, 0.049591656434597675)","(0.0, 0.012035781008490357)","(0.0, 0.0008813006627066102)","(0.5308161560660701, 0.9451195619153446)","(0.0, 0.7589465990162958)","(0.0, 0.5003219845004742)","(0.0, 0.18501353794011077)","(0.0, 0.04059284953482395)","(0.0, 0.017369313266609974)","(0.0, 0.0007727084041994657)","(0.5340225872880477, 0.945435830674388)","(0.0, 0.7408812464855505)","(0.0, 0.5205110812787653)","(0.0, 0.17758799722411628)","(0.0, 0.05462472204710323)","(0.0, 0.014999073049520823)","(0.0, 0.0007232980478411801)","(0.44656154646538226, 0.9223029355270825)","(0.07317789294887912, 0.8771516980807575)","(0.0017255097566930013, 0.8335433079799511)","(2.514343580852354e-06, 0.7887888936273767)","(1.1659088851250494e-11, 0.7462016409816861)","(3.3597657461039533e-18, 0.7070976422270098)","(0.8651711174255889, 0.9635346229257967)","(0.461327098484079, 0.9226363790811669)","(0.0934789750942912, 0.88044357611828)","(0.0031241371885448502, 0.8353288292085325)","(8.302873477116623e-06, 0.7953203478220049)","(1.2776392651959072e-10, 0.7526181917987981)","(1.062750121862856e-18, 0.709525632151894)"
"(0.9732794206083785, 0.9810467886307866)","(0.8818731642821713, 0.9140798721252731)","(0.8253792939472746, 0.8729357973097257)","(0.6096781599215971, 0.7087746236629042)","(0.46689717533671893, 0.5937086778295342)","(0.3093052241478849, 0.45327295397118894)","(0.17851493478640842, 0.32252743217818725)","(0.9860045880485147, 0.9901894639875306)","(0.9688751226710143, 0.9783103133538482)","(0.9470738290978994, 0.9629810751853222)","(0.89206409766031, 0.9231346590492595)","(0.8652374808770008, 0.9034535417539893)","(0.805953172327418, 0.8594150826880695)","(0.6898039307688345, 0.7696894643670303)","(0.9870484425218894, 0.9909640326355837)","(0.9696098592075156, 0.9786812796119434)","(0.9515785858303245, 0.9661410305325259)","(0.9331150921714005, 0.953128236692305)","(0.9183250438840057, 0.9418841654359175)","(0.9037629170753441, 0.930815262887657)","(0.8792138670477696, 0.9135564668319949)","(0.9167500018745114, 0.9398901095600114)","(0.9110545005217027, 0.9364678248405247)","(0.8380497342362216, 0.8830906839316658)","(0.7889611625182122, 0.8459825566464634)","(0.8322658880962824, 0.8783060966441982)","(0.8255718946453829, 0.8741256506795554)","(0.9980785179607369, 0.9990390529905956)","(0.8653125747905596, 0.9027560829888168)","(0.3452278186262632, 0.5032919724490945)","(0.013983457924426363, 0.12403111393377732)","(0.777445333690866, 0.837676885743711)","(0.717877136770102, 0.7932763532323215)","(0.6343351494753334, 0.729560046370646)","(0.5260826069668342, 0.6393134600621015)","(0.592390894636498, 0.6936484314735648)","(0.41228737582936703, 0.5383397908042841)","(0.9737110902785889, 0.9812629140299642)","(0.8820474908137796, 0.91417630041252)","(0.8077822467391004, 0.8589967250343752)","(0.47020056379284886, 0.594822227233648)","(0.31243594413678577, 0.46095758917995583)","(0.1645930899022437, 0.3106268740436838)","(0.9718262344677598, 0.9805835140629611)","(0.755723701125868, 0.8225687825453749)","(0.6024391197451437, 0.7061602910700128)","(0.2978114023680685, 0.45217712067242677)","(0.11667920116540524, 0.2666850469319905)","(0.04318471735220081, 0.15036973214707344)","(0.017166516547176405, 0.09229902465376132)","(0.9856747205723405, 0.9900246168294985)","(0.9570988212509365, 0.9691645288471303)","(0.8972970269562585, 0.9259201182404045)","(0.6293661500458835, 0.7238917636082515)","(0.48617484860973453, 0.6089131298896142)","(0.3283990077167654, 0.4672821152819803)","(0.18128596080001552, 0.3296497228362116)","(0.29404551495656134, 0.46526532764748907)","(0.006221161974040242, 0.13478893462459288)","(0.9565797572449726, 0.9699495609686801)","(0.8125139037774413, 0.8660531661713199)","(0.6160352784187891, 0.7180826852235108)","(0.29331565054736825, 0.45166266347554845)","(0.10888642216491534, 0.25851773686594487)","(0.038580716264462585, 0.1493877852286403)","(0.00653766092494064, 0.07578585616386008)","(0.955939817489218, 0.9696290109537712)","(0.8113537650501331, 0.8654692803219174)","(0.5993121381459726, 0.7052134787587813)","(0.286929641661863, 0.4466182100848642)","(0.09438052436584035, 0.24573013507751187)","(0.053184106130270074, 0.17769194505186026)","(0.005940240159607842, 0.07200479601766324)","(0.9565797572449726, 0.9699495609686801)","(0.7986431055301392, 0.8555765045784872)","(0.6160352784187891, 0.7180826852235108)","(0.28135565253000716, 0.4400301381487057)","(0.12008440434102448, 0.26360373166948187)","(0.045408434073649646, 0.15965641531058694)","(0.005705966901660793, 0.07209757115089047)","(0.9389451336356299, 0.9573365549129991)","(0.8990673670088724, 0.9303797276663541)","(0.8631981185163509, 0.9049585348903493)","(0.8284137500072801, 0.8791128233176096)","(0.7925398751030509, 0.8530112053205524)","(0.7626744806676483, 0.8297442062887427)","(0.9713432347161337, 0.9800790509193301)","(0.9396242382960701, 0.9576787405626258)","(0.905829668276892, 0.9338250935182943)","(0.8669008068913501, 0.9068589537540885)","(0.8367243373224852, 0.8841614356552459)","(0.8030067850414883, 0.8589037209994684)","(0.7679220181494602, 0.8325393106233411)"
"(0.9449397188177079, 0.952563798706518)","(0.7154172808605627, 0.7431285728965322)","(0.477699384034073, 0.5084430945905528)","(0.18374942254368692, 0.22228128138970943)","(0.056756404566147896, 0.07957140019769167)","(0.006874343479598951, 0.013136694921153014)","(0.0007486590743083155, 0.0024306812758517118)","(0.986621659813793, 0.9889123430944048)","(0.9459770859723, 0.9516428812838279)","(0.9133958484187715, 0.9228394571350017)","(0.7404760760514368, 0.7588437544882137)","(0.6306036234350251, 0.6536283796905464)","(0.46962432669960197, 0.4931466801372324)","(0.2801347589712669, 0.3103746167390448)","(0.9752074901523872, 0.9790895713524124)","(0.9203913491607285, 0.9291038373431094)","(0.8649200345395001, 0.8783939365662946)","(0.7883007967972728, 0.8056536447112459)","(0.6632392028618427, 0.6809445901142884)","(0.639833963818167, 0.6598041662342914)","(0.48916514044169207, 0.5095377742722634)","(0.7968478961217201, 0.8177364609831217)","(0.7824709766428305, 0.8049257390386307)","(0.5480151600668548, 0.5798445854291046)","(0.4087852967174199, 0.4414912498812663)","(0.4785982973065499, 0.5068623424040337)","(0.4309462429267942, 0.4582846463783177)","(0.9943838024484113, 0.9953416092682528)","(0.6828326316226431, 0.7144061997846676)","(0.04738349269816202, 0.0882796727714402)","(5.379796936592702e-08, 0.000496513432038565)","(0.5078210844498136, 0.5524300361404436)","(0.38337062846600334, 0.43011046813775566)","(0.21062830122142304, 0.25007314986655066)","(0.12041248591853461, 0.15402532114280457)","(0.12506084250921054, 0.1513433609239615)","(0.05237821845522124, 0.07298412250019103)","(0.9441579188565677, 0.9515634815696028)","(0.7132563865312257, 0.7408292186045846)","(0.4394573762809021, 0.4710003436476175)","(0.06055673075962125, 0.08410237651740152)","(0.002949978823636368, 0.005712848806777289)","(0.00058850884550757, 0.0021680059416742097)","(0.9346091765865444, 0.9431500728119832)","(0.4690789543935067, 0.5166437727347338)","(0.14664190227518614, 0.18145385080005386)","(0.01644796425659074, 0.034307189060186156)","(0.00028002432912006494, 0.0022050466585149696)","(3.655428680247841e-06, 0.00020553551611707835)","(2.1747825797856406e-08, 1.201549161317211e-05)","(0.986621659813793, 0.9889123430944048)","(0.9199004186046201, 0.9297214257282751)","(0.7378248453407904, 0.760662931092371)","(0.2689408277249887, 0.3164735236849627)","(0.10386739465146425, 0.139112930106378)","(0.02029400964881718, 0.03504559933369992)","(0.0015527673392959844, 0.005473510787226451)","(0.03740709020433135, 0.08502333122132048)","(6.501973937478859e-07, 0.005314433218104118)","(0.910174913737505, 0.9231239062537046)","(0.542366028477722, 0.5823511809409461)","(0.1610328757300387, 0.19707419582941366)","(0.01480399411427366, 0.03176733967669048)","(0.0002775224245440233, 0.0022803840788503727)","(1.7350569085974565e-07, 3.4081141772277574e-05)","(4.945237460574764e-10, 6.285853985245653e-06)","(0.9130411405800956, 0.9263332109593091)","(0.5457162372410161, 0.5864724956138204)","(0.16038934255363863, 0.19834388778943565)","(0.01531081275461043, 0.03316358835612429)","(0.00016272466998615954, 0.0017687687260168553)","(3.946980092712773e-06, 0.00018677427257023676)","(2.9186563121814905e-10, 6.144305833947152e-06)","(0.910174913737505, 0.9231239062537046)","(0.5135086768383271, 0.5550724533271605)","(0.1610328757300387, 0.19707419582941366)","(0.014888916968930042, 0.03254498979889948)","(0.0004339429389290574, 0.0027974287226728645)","(3.8588616697342735e-07, 4.566530864070283e-05)","(3.0893637705404544e-10, 5.000679116592779e-06)","(0.8469499736256337, 0.8639664405659943)","(0.747330211682377, 0.7743396241338534)","(0.6364358825304589, 0.6686811943579084)","(0.5234581773854147, 0.5574898335526658)","(0.32375501680202856, 0.35151366330630307)","(0.24533200749260506, 0.2697539222108743)","(0.940665471994095, 0.9492176581522781)","(0.8484735095350813, 0.8651801741377965)","(0.7571772449810771, 0.7814710839430936)","(0.6271247176005493, 0.6575964812190781)","(0.4446911533928081, 0.4720598783897506)","(0.3551484417801213, 0.38233166172683514)","(0.27276027117887447, 0.2987027664014454)"
0.97265625,0.80859375,0.40087890625,0.029296875,0.01416015625,0.013671875,0.00390625,0.984375,0.95947265625,0.892578125,0.4287109375,0.3154296875,0.08740234375,0.01708984375,0.98291015625,0.9580078125,0.9033203125,0.7626953125,0.7109375,0.50537109375,0.24658203125,0.82666015625,0.875,0.42236328125,0.23828125,0.560546875,0.51025390625,0.99560546875,0.71435546875,0.12109375,0.03369140625,0.39013671875,0.6328125,0.05908203125,0.109375,0.20654296875,0.20654296875,0.982421875,0.81591796875,0.27001953125,0.01708984375,0.00634765625,0.00390625,0.96142578125,0.46533203125,0.14794921875,0.02001953125,0.02392578125,0.00341796875,0.0029296875,0.98876953125,0.96630859375,0.73291015625,0.07763671875,0.02197265625,0.01953125,0.009765625,0.25830078125,0.056640625,0.9560546875,0.59912109375,0.18212890625,0.03662109375,0.0146484375,0.0068359375,0.00634765625,0.9794921875,0.57373046875,0.15869140625,0.03662109375,0.017578125,0.005859375,0.00439453125,0.955078125,0.38720703125,0.1962890625,0.0361328125,0.0146484375,0.00830078125,0.00244140625,0.90771484375,0.806640625,0.51806640625,0.466796875,0.2041015625,0.0185546875,0.97412109375,0.93603515625,0.83544921875,0.61767578125,0.455078125,0.130859375,0.03076171875
0.9818274796873308,0.8204575997897507,0.4145239268024146,0.029406974266922764,0.014196752882414728,0.013932701349017636,0.0038743144728903335,0.9886814255405136,0.9697970707666304,0.9062420017720453,0.4361893207158908,0.3230487054000869,0.0900554532521765,0.01735537907040102,0.9986917618796262,0.9726678492512656,0.921972797843809,0.7850980745948267,0.7426154881672742,0.5346627313515228,0.2607552577085627,0.8387338422221025,0.8927868255341098,0.43149663106130487,0.24528768145797397,0.5897172706802644,0.5387568702349032,0.9994152450328676,0.7244028145331503,0.12217254335871817,0.033686659757745464,0.39422285782922717,0.6451642969230857,0.05954386340168023,0.11145479289799569,0.21617172552393263,0.21661846180185443,0.9917118713755705,0.8278648892687946,0.27821581001863954,0.017112170041325602,0.006298094051590843,0.0039006155306030034,0.9819041201579608,0.4711451983905856,0.15125798745060615,0.019652299175887657,0.024184914914834696,0.003192214239993104,0.0027940224281751973,0.9931150271835223,0.9761650804802999,0.754943001239184,0.07804636570805704,0.021752375606610246,0.019625511872324468,0.00986033113983738,0.2603655802381531,0.05645029550489425,0.9650311978295942,0.6167777523737117,0.1867348061480457,0.036627329688802716,0.014571058104998884,0.0067603026273210885,0.006477515679109448,0.9887661967574681,0.589089276332833,0.16294361355361833,0.036584906623343266,0.017619246256844658,0.00569032554896546,0.004460991448943758,0.9640363655474661,0.39768782110270623,0.2014667218416791,0.0361914459959127,0.014648215923211694,0.00821642158964598,0.002336391666472315,0.9214446482933661,0.8229894189931505,0.5321034430010169,0.48493061130671716,0.21185902614402116,0.018830663387072923,0.9832978663022827,0.9503015517850799,0.8526956975046005,0.6355720004742579,0.4752184121814135,0.13789770018827632,0.03166744597426407
