ae_indep_qiskit_2.qasm,ae_indep_qiskit_3.qasm,ae_indep_qiskit_4.qasm,ae_indep_qiskit_5.qasm,ae_indep_qiskit_6.qasm,ae_indep_qiskit_7.qasm,ae_indep_qiskit_8.qasm,dj_indep_qiskit_2.qasm,dj_indep_qiskit_3.qasm,dj_indep_qiskit_4.qasm,dj_indep_qiskit_5.qasm,dj_indep_qiskit_6.qasm,dj_indep_qiskit_7.qasm,dj_indep_qiskit_8.qasm,ghz_indep_qiskit_2.qasm,ghz_indep_qiskit_3.qasm,ghz_indep_qiskit_4.qasm,ghz_indep_qiskit_5.qasm,ghz_indep_qiskit_6.qasm,ghz_indep_qiskit_7.qasm,ghz_indep_qiskit_8.qasm,graphstate_indep_qiskit_3.qasm,graphstate_indep_qiskit_4.qasm,graphstate_indep_qiskit_5.qasm,graphstate_indep_qiskit_6.qasm,graphstate_indep_qiskit_7.qasm,graphstate_indep_qiskit_8.qasm,grover-noancilla_indep_qiskit_2.qasm,grover-noancilla_indep_qiskit_3.qasm,grover-noancilla_indep_qiskit_4.qasm,grover-noancilla_indep_qiskit_5.qasm,qaoa_indep_qiskit_3.qasm,qaoa_indep_qiskit_4.qasm,qaoa_indep_qiskit_5.qasm,qaoa_indep_qiskit_6.qasm,qaoa_indep_qiskit_7.qasm,qaoa_indep_qiskit_8.qasm,qft_indep_qiskit_2.qasm,qft_indep_qiskit_3.qasm,qft_indep_qiskit_4.qasm,qft_indep_qiskit_6.qasm,qft_indep_qiskit_7.qasm,qft_indep_qiskit_8.qasm,qnn_indep_qiskit_2.qasm,qnn_indep_qiskit_3.qasm,qnn_indep_qiskit_4.qasm,qnn_indep_qiskit_5.qasm,qnn_indep_qiskit_6.qasm,qnn_indep_qiskit_7.qasm,qnn_indep_qiskit_8.qasm,qpeexact_indep_qiskit_2.qasm,qpeexact_indep_qiskit_3.qasm,qpeexact_indep_qiskit_4.qasm,qpeexact_indep_qiskit_5.qasm,qpeexact_indep_qiskit_6.qasm,qpeexact_indep_qiskit_7.qasm,qpeexact_indep_qiskit_8.qasm,qwalk-noancilla_indep_qiskit_3.qasm,qwalk-noancilla_indep_qiskit_4.qasm,realamprandom_indep_qiskit_2.qasm,realamprandom_indep_qiskit_3.qasm,realamprandom_indep_qiskit_4.qasm,realamprandom_indep_qiskit_5.qasm,realamprandom_indep_qiskit_6.qasm,realamprandom_indep_qiskit_7.qasm,realamprandom_indep_qiskit_8.qasm,su2random_indep_qiskit_2.qasm,su2random_indep_qiskit_3.qasm,su2random_indep_qiskit_4.qasm,su2random_indep_qiskit_5.qasm,su2random_indep_qiskit_6.qasm,su2random_indep_qiskit_7.qasm,su2random_indep_qiskit_8.qasm,twolocalrandom_indep_qiskit_2.qasm,twolocalrandom_indep_qiskit_3.qasm,twolocalrandom_indep_qiskit_4.qasm,twolocalrandom_indep_qiskit_5.qasm,twolocalrandom_indep_qiskit_6.qasm,twolocalrandom_indep_qiskit_7.qasm,twolocalrandom_indep_qiskit_8.qasm,vqe_indep_qiskit_3.qasm,vqe_indep_qiskit_4.qasm,vqe_indep_qiskit_5.qasm,vqe_indep_qiskit_6.qasm,vqe_indep_qiskit_7.qasm,vqe_indep_qiskit_8.qasm,wstate_indep_qiskit_2.qasm,wstate_indep_qiskit_3.qasm,wstate_indep_qiskit_4.qasm,wstate_indep_qiskit_5.qasm,wstate_indep_qiskit_6.qasm,wstate_indep_qiskit_7.qasm,wstate_indep_qiskit_8.qasm
2,3,4,5,6,7,8,2,3,4,5,6,7,8,2,3,4,5,6,7,8,3,4,5,6,7,8,2,3,4,5,3,4,5,6,7,8,2,3,4,6,7,8,2,3,4,5,6,7,8,2,3,4,5,6,7,8,3,4,2,3,4,5,6,7,8,2,3,4,5,6,7,8,2,3,4,5,6,7,8,3,4,5,6,7,8,2,3,4,5,6,7,8
25,81,133,252,334,506,575,23,29,33,61,82,102,103,17,23,28,39,48,57,55,51,58,71,91,66,99,7,94,621,2052,156,143,161,208,157,145,25,65,147,340,407,576,41,166,327,558,818,954,1204,23,34,81,253,292,407,607,680,2179,37,158,319,562,782,1176,1455,41,156,312,555,899,1017,1535,37,149,319,557,789,994,1505,52,61,73,79,76,97,25,42,57,74,77,86,102
38,122,200,364,539,852,1070,31,52,76,124,179,218,251,31,47,55,83,101,123,121,93,122,140,218,209,251,12,149,878,3451,233,301,407,509,532,642,35,99,212,584,787,1159,74,258,490,954,1467,2091,2629,29,51,129,353,520,828,1202,1161,3704,61,305,544,1074,1729,2514,3808,74,307,568,1092,1851,2488,3712,61,296,544,1060,1709,2413,3593,105,151,191,237,234,320,42,94,120,168,213,247,298
0.9976408207108495,0.988644675339987,0.9859965662567038,0.8676966887879747,0.9573116268455379,0.7696231201390065,0.7633437988229207,0.9982699269128453,0.9945276932797632,0.9934549331089535,0.9187118084381759,0.89715070763067,0.9693697263658092,0.9541721168652817,0.9983381135905697,0.9868019349063591,0.9767558122178717,0.9954360323321909,0.9904029211526398,0.9730652182344605,0.9292707181046822,0.9371095828739666,0.9622221342724787,0.949386960978206,0.9878487061554506,0.9131465161217419,0.8683673673773185,0.9991260773913592,0.9167556752489698,0.9285130152668247,0.7344456686854293,0.8538799651242355,0.8257119118267127,0.8350286919364655,0.73333496241956,0.6740909699250648,0.7645807661556995,0.9987537721623552,0.9581936508803255,0.9862001976982167,0.9618861822676266,0.8049097281426808,0.8270267138054886,0.9912065219533783,0.8592147026427667,0.9586684136431047,0.663779878684357,0.8810968830028492,0.6348404456753791,0.42379049011359077,0.9990015993468346,0.9707049535159525,0.968313254593538,0.9721680701800238,0.9640459821880201,0.7306217401389649,0.8583256239796463,0.8881771938990254,0.17204185683840567,0.9910838809235938,0.8399551073025459,0.9576127486063039,0.9123812857457945,0.8556238845033354,0.5909544904650667,0.7272437896436031,0.9926323955658356,0.8427465535263117,0.956546246691905,0.9071139349084322,0.8580505625718686,0.3883195127467334,0.38852196160955693,0.9910838809235938,0.84090137412632,0.9576127486063039,0.9135206500412129,0.8590797219137896,0.4262900544077633,0.3995153202863455,0.9883001062331414,0.9417460576490777,0.9162305409122531,0.894317676730373,0.9482521595306884,0.914274869621047,0.995563369100056,0.9689776892863223,0.9472820944130443,0.9241759796917863,0.915093150745984,0.9425819353329848,0.9286272028396984
0.9352472668201727,0.6922154347734455,0.48003014591374216,0.1545427360715615,0.04943019621191135,0.003627988196212928,0.0005435923625596356,0.9754791533513668,0.9311998789969353,0.8817412739139594,0.6966638251483208,0.4813357265992699,0.4055852330112378,0.3316303029556867,0.9647640628216514,0.9040119465577388,0.8514425625316776,0.785219325402249,0.696941309317311,0.5799611880813467,0.4840285616560955,0.7393166666545338,0.7026423887421076,0.564640778759951,0.3877624606082568,0.36396091834336347,0.23158168665171255,0.9942431414601741,0.6167439946641396,0.06371928702069174,3.997168713577244e-06,0.42371753045359306,0.38168836672477496,0.20428962325751437,0.10622718381051255,0.058077953915645866,0.07176451846749633,0.9340247122712813,0.7237083180250932,0.44196429947534266,0.04184127577663296,0.006258661692013035,0.000578885548504694,0.8972251172841417,0.397234899097191,0.1698001095454424,0.014414338636405205,0.0007408873598712832,1.1619225242056176e-05,8.645331160193933e-08,0.97547097006205,0.8776099267433259,0.6544329022052114,0.25338845063228443,0.08812518149476944,0.02079077364945978,0.0009665740965235565,0.04425860659603674,7.408937182169583e-06,0.8906588798110298,0.3710972214138564,0.17901112666799074,0.01623572187969204,0.0005400069328947478,3.135146679559369e-06,8.21753897393223e-09,0.8985157964623296,0.4024365570686308,0.18876824357742264,0.016731889623653382,0.0005506580316783879,5.204765563826224e-06,8.29433153246788e-09,0.8906588798110298,0.39568570701602457,0.17901112666799074,0.015892125716118432,0.0006796894016062739,5.941725743306768e-06,6.09916538840678e-09,0.8287946507330922,0.6926434577558158,0.552484275962202,0.43574380501948184,0.3646071546929439,0.2760329979265444,0.9287888311893334,0.8164301439191571,0.7261298555569979,0.5650159815305228,0.48719812622924913,0.4297682752392186,0.2894814258535915
0.9800929702679558,0.9030411713596141,0.8213164246502742,0.6963963367588539,0.5847496452272103,0.43241810787222884,0.29495400384271436,0.9879831027340837,0.975791091784432,0.9613383929244675,0.9256632445526595,0.8386532904386732,0.8220359022260912,0.802205594520763,0.9913762104006766,0.9843831524894078,0.9686608082463222,0.9560094234661783,0.9362403068979771,0.9202802290588878,0.9123379702487084,0.9572338118849808,0.9193047989300057,0.8993057364374444,0.8387985446173896,0.8749110137704709,0.8383641787605263,0.9991167976018367,0.9285659866161966,0.4488827075982549,0.05909457838289639,0.8739599177076984,0.7911365794115265,0.640200600296098,0.5406108797358745,0.6912360203634427,0.4912297782400006,0.9803425149464983,0.9480396063446402,0.8414841210580987,0.5825493317578894,0.46910958898536104,0.2957175604409848,0.9741951170585013,0.8593526471032729,0.6747759722472184,0.3977509046386994,0.2079098666139003,0.11743748895310496,0.03414535268163239,0.9879831027340839,0.9696690371482075,0.8958128717026616,0.7335864516392475,0.5938966374456043,0.4348232173309678,0.26585798547090966,0.3771561445895782,0.06357331659386137,0.968165102345322,0.8524050364425,0.6791787869780048,0.4538511589909528,0.23653709538640982,0.07713149158606455,0.02141617793655055,0.9678215334866405,0.8651035826152275,0.6926636056099333,0.45676203648021263,0.21740982133414674,0.10025024252972665,0.020294594560875717,0.968165102345322,0.8652116063843184,0.6791787869780048,0.4543580034161458,0.23786586261495182,0.10536743010954068,0.019392343094118226,0.9506661119225227,0.9332736540578185,0.8854871231542206,0.8585726304829813,0.8317358342176018,0.7880901652895389,0.9830910674347214,0.9688892076306771,0.9356915608705014,0.8887759006993959,0.8621281946561395,0.8446034626510951,0.8083094151253485
0.9187968782388476,0.6322787677342725,0.3998560001714852,0.12403296758370351,0.030193187764437593,0.0020384104247099825,0.00021004263615230956,0.9654271801625073,0.9136563544041432,0.853236227421959,0.7019351344199661,0.4499509251731511,0.3439406181972674,0.2788130984351836,0.9580362880176867,0.9017960933822431,0.8443861101010646,0.7541188486150701,0.6588273634792258,0.5485005578363656,0.4752088136214986,0.7551933348514234,0.6713029111418742,0.534855345856163,0.32925546755160773,0.3487210545280882,0.22358024706999355,0.9942339070229037,0.6246893380173429,0.03080461513601833,3.2161807186764616e-07,0.43368172714141723,0.36570579220998667,0.15662496475471477,0.07831015052410632,0.05955512761128554,0.046107448751999805,0.9168066854633706,0.7160391308150533,0.3771099832986164,0.02534042768564619,0.0036476117896020953,0.00020699043854417926,0.8818266514610003,0.3972986740229246,0.11951685522922127,0.008637375757400829,0.00017482503358971183,2.149410368074364e-06,6.965656106044386e-09,0.9647120047245642,0.8766733594740272,0.605433639041989,0.19120390813831495,0.054289162478786956,0.012373449341020878,0.0002993868934247394,0.018794003655272624,2.7377681092369614e-06,0.8700624257186298,0.3765976750339001,0.12696213583505292,0.008076230088531236,0.00014928483613987952,4.0919993609864304e-07,2.4199350942896014e-10,0.8760573802333316,0.4131127037406984,0.13669270322599053,0.008425062921598184,0.00013952378741478177,1.343684756898265e-06,4.3325760764609023e-10,0.8700624257186298,0.40712487424146,0.12696213583505292,0.00790427070268001,0.0001881954627716624,1.4686347136522218e-06,2.9605149488380503e-10,0.7972345477100917,0.6864121017853942,0.533946086999696,0.41832753016804375,0.31980611161521716,0.2379359842313764,0.9171530731396389,0.8163555920572816,0.7172452450521513,0.5433733389844418,0.4589994370119268,0.3850951941662268,0.2519747012642276
"(0.8634027938894696, 0.962927024785292)","(0.0, 0.8211852602591566)","(0.0, 0.6835840264903408)","(0.0, 0.4949184249624956)","(0.0, 0.35241803111361764)","(0.0, 0.19726550295585876)","(0.0, 0.09367169524522494)","(0.9655311263927693, 0.9777974159588885)","(0.8932356691806259, 0.9549914534870977)","(0.766656488451905, 0.9285071599444464)","(0.0034117681992248496, 0.8625441861701147)","(0.0, 0.712897840269562)","(0.0, 0.6857863544105581)","(0.0, 0.6546533215243123)","(0.9750140758535243, 0.9836891637871984)","(0.9296665234643405, 0.9705887696488231)","(0.8104194162964932, 0.9407212557286426)","(0.6655759407145477, 0.9183563897917173)","(0.4697460393110687, 0.8822263763432312)","(0.2984886043151619, 0.853841566922842)","(0.18465054724786306, 0.8381149368812187)","(0.006097092195470111, 0.9188901604343711)","(0.00024934885150842837, 0.849706771962303)","(1.1784655324077392e-05, 0.8152387654514124)","(0.0, 0.7135345685941585)","(7.729933872989013e-07, 0.7732033520929316)","(2.058259211703658e-69, 0.7112379373992255)","(0.9991167976018367, 0.9991167976018367)","(0.0, 0.8665637571757483)","(0.0, 0.21385851458009528)","(0.0, 0.0042233370159645055)","(0.0, 0.7697174322630429)","(0.0, 0.6364373365107979)","(0.0, 0.4228726632867177)","(0.0, 0.3144390580893029)","(0.0, 0.4897453856347681)","(0.0, 0.254387583604903)","(0.8669268595633682, 0.963172198786279)","(3.851569258058951e-09, 0.9016939267038376)","(0.0, 0.7152681681973307)","(0.0, 0.35137062588799983)","(0.0, 0.2307980609936443)","(0.0, 0.09449725433677054)","(0.5825582577548966, 0.9517089004223973)","(0.0, 0.7451608246787232)","(0.0, 0.4667700311165914)","(0.0, 0.16729541798041453)","(0.0, 0.047750219379039865)","(0.0, 0.015794609930949374)","(0.0, 0.0014157222696505852)","(0.9653325669320215, 0.9777974159588885)","(0.7402709637607237, 0.9427494734362032)","(0.0, 0.8083463567840676)","(0.0, 0.5481711674861831)","(0.0, 0.3638180717392575)","(0.0, 0.1996920092731097)","(0.0, 0.07662400040713187)","(0.0, 0.15312184455857675)","(0.0, 0.004795423784259607)","(0.5166065834031035, 0.9428412527378007)","(0.0, 0.7344737828940562)","(0.0, 0.47480247830811223)","(0.0, 0.21845550202445)","(0.0, 0.0620790748656594)","(0.0, 0.007032076614392473)","(0.0, 0.0005948615625651203)","(0.5133166483530042, 0.9425066704518498)","(0.0, 0.7565601509709772)","(0.0, 0.4931491897258728)","(0.0, 0.22141732234706776)","(0.0, 0.05268857473999611)","(0.0, 0.011853881917578865)","(0.0, 0.0005523911361112207)","(0.5166065834031035, 0.9428412527378007)","(0.0, 0.7566546211369718)","(0.0, 0.47480247830811223)","(0.0, 0.21887459194977252)","(0.0, 0.06280086216055858)","(0.0, 0.013077013192632145)","(0.0, 0.0004885602661807216)","(0.38976700138167725, 0.9105698891958928)","(0.08917652607274616, 0.8802123604675915)","(0.0005841412547413893, 0.7971559895658136)","(2.9079011968052573e-07, 0.7522036041139435)","(3.5017734982506686e-13, 0.707327523574155)","(1.738481714019306e-24, 0.6400578890560881)","(0.8821864921586393, 0.9679045653669527)","(0.5581074932423522, 0.941924943468312)","(0.09103879609202423, 0.8824927971366534)","(0.0006338795097146226, 0.8001166974631198)","(4.659856715597073e-07, 0.7553186675235513)","(7.320836880218512e-12, 0.7270549918382896)","(1.1598972083528974e-20, 0.6698537545070025)"
"(0.8094046337986274, 0.9027045098616132)","(0.0, 0.5749660379896914)","(0.0, 0.3328013009479693)","(0.0, 0.08814836856502233)","(0.0, 0.01819688797049608)","(0.0, 0.0009299056869739034)","(0.0, 6.670548473942626e-05)","(0.9434877885390207, 0.9554740353828216)","(0.8363577532101596, 0.8941811594985258)","(0.6804462349052007, 0.8240968550889065)","(0.0025871611340579945, 0.6540716322328135)","(0.0, 0.382481111611029)","(0.0, 0.2869336753400638)","(0.0, 0.22753010228521148)","(0.9422244110721381, 0.9506077563198975)","(0.8516700401548314, 0.8891590216030282)","(0.7064463563007679, 0.8200310728501216)","(0.5250192621090871, 0.7244174024739864)","(0.3305578090410549, 0.6208180455761769)","(0.1779036002349977, 0.5089021376021401)","(0.09617879596559699, 0.4365483163275641)","(0.004810197185707982, 0.7249427632044138)","(0.0001820817318720812, 0.6204804220528044)","(7.008835420225886e-06, 0.48485714499964944)","(0.0, 0.28008531906057127)","(3.0809884081860386e-07, 0.30818252835166215)","(5.48909548791973e-70, 0.18967741919075243)","(0.9942339070229037, 0.9942339070229037)","(0.0, 0.5829775671545122)","(0.0, 0.01467605929942936)","(0.0, 2.2985213620119357e-08)","(0.0, 0.3819538844644576)","(0.0, 0.2941954984736284)","(0.0, 0.10345572302241123)","(0.0, 0.04554804738976386)","(0.0, 0.04219520985492238)","(0.0, 0.023877140584253432)","(0.8107414791643885, 0.9007491745350928)","(2.909028573656387e-09, 0.6810349812574354)","(0.0, 0.3205464728481837)","(0.0, 0.015284339798840606)","(0.0, 0.0017945950116231612)","(0.0, 6.614429013691429e-05)","(0.5273229035145179, 0.8614724690461733)","(0.0, 0.3445051441647653)","(0.0, 0.08267467800981809)","(0.0, 0.0036329103736441374)","(0.0, 4.0151695745922906e-05)","(0.0, 2.890822909099277e-07)","(0.0, 2.888075154473168e-10)","(0.9425949829443099, 0.9547662331003304)","(0.6692756062726565, 0.8523355045453145)","(0.0, 0.546319540445891)","(0.0, 0.14287677930513934)","(0.0, 0.03325726593490028)","(0.0, 0.005682490865400996)","(0.0, 8.628750196475596e-05)","(0.0, 0.007630188577379743)","(0.0, 2.065136602939179e-07)","(0.4642596350654237, 0.8473046027350505)","(0.0, 0.32449493748376435)","(0.0, 0.08875709592462071)","(0.0, 0.0038873909727973836)","(0.0, 3.917975108257684e-05)","(0.0, 3.7306750356816015e-08)","(0.0, 6.721677302832225e-12)","(0.4646464483655699, 0.8531427499798288)","(0.0, 0.3612799851842737)","(0.0, 0.0973198177172566)","(0.0, 0.0040840847612488625)","(0.0, 3.381314356499332e-05)","(0.0, 1.5888121605291607e-07)","(0.0, 1.1792680134533618e-11)","(0.4642596350654237, 0.8473046027350505)","(0.0, 0.3560434409357374)","(0.0, 0.08875709592462071)","(0.0, 0.0038076671076597802)","(0.0, 4.9686984028883515e-05)","(0.0, 1.8227032305544123e-07)","(0.0, 7.458562198577356e-12)","(0.3268610452837562, 0.7636096045366118)","(0.06558831530855737, 0.6473861270368739)","(0.00035223542959408514, 0.4806826776213951)","(1.4168342693942356e-07, 0.36650070677826524)","(1.3464474177503968e-13, 0.2719705652281538)","(5.248731375063702e-25, 0.19324286801836468)","(0.8230163808494775, 0.9029851618412075)","(0.47024383127522373, 0.7936363506194641)","(0.06978490171646831, 0.6764662512828187)","(0.00038753663936703714, 0.48916952083828635)","(2.480920612819525e-07, 0.40213374914178085)","(3.3379203667930433e-12, 0.33149921310132235)","(3.615753412034798e-21, 0.20881384841527406)"
"(0.9719472766653936, 0.9801503824517085)","(0.8687109010061816, 0.9041860009142456)","(0.7621847431668229, 0.8250560627422676)","(0.6087000749222506, 0.7058343489802226)","(0.47891531565574286, 0.5980852154085774)","(0.31521724919280253, 0.4542643617791255)","(0.18656911722266123, 0.32555256024158546)","(0.9828655822102543, 0.9880001685327467)","(0.9659176436316229, 0.9758465800071486)","(0.9457857867270262, 0.9614723225718772)","(0.898083578007007, 0.9261110633830566)","(0.7835637557224867, 0.8403457591439885)","(0.7622733125763383, 0.8241490850341074)","(0.7366412988962072, 0.8049498993424238)","(0.9879335991664728, 0.9913842102836633)","(0.9781587545308701, 0.9844063736753116)","(0.956759151738922, 0.9687358448125826)","(0.938722970900943, 0.9561290628107044)","(0.9118942349423702, 0.9364404830862614)","(0.8902018107695511, 0.9205397066197971)","(0.8806759954635116, 0.9126320394551953)","(0.9415830217958954, 0.9574497389045118)","(0.8905560463604835, 0.9200294376798351)","(0.8633258478926837, 0.9001894511232972)","(0.7835295229821821, 0.8405180022694673)","(0.8310840358874264, 0.8758675862798146)","(0.7841386143258655, 0.8399872894477783)","(0.9982341676169506, 0.9991169015102177)","(0.90283866512011, 0.9291920514844303)","(0.32998962822394473, 0.4878410634673158)","(0.020220034908482384, 0.1325892631358321)","(0.8312130547684211, 0.8759654269186973)","(0.7234186224725319, 0.795682284572558)","(0.5400516397136635, 0.6501269672070668)","(0.4190265893202622, 0.5585572309640509)","(0.6009921104039925, 0.6968018277507503)","(0.37380294737134523, 0.5032488374878765)","(0.9724423440698, 0.9803982697441167)","(0.9292805528218216, 0.9483680801719965)","(0.7889868122768552, 0.8442477882239482)","(0.4751008491129805, 0.59635454255025)","(0.35279550101994517, 0.4875149057013871)","(0.18679594000092156, 0.3241954234871669)","(0.963927112931105, 0.974297800551668)","(0.8120330724121467, 0.8619057007118527)","(0.5819065496971697, 0.6871272228740511)","(0.28150702853112536, 0.4370042740248026)","(0.11502405117354372, 0.2567073993435493)","(0.05239548526293535, 0.15614039045198372)","(0.009679131454321104, 0.08681977909852343)","(0.9828655822102543, 0.9879999940701425)","(0.9580425291883314, 0.9697677431338537)","(0.859265690592514, 0.8970074936338309)","(0.6533143638940744, 0.7400061009104622)","(0.4886785050882559, 0.6066442956709364)","(0.317303130673247, 0.4546779384156684)","(0.16166401679059034, 0.2997618767610646)","(0.2591685935353255, 0.4346762935363531)","(0.022571889788526877, 0.1652591222765009)","(0.9540273665819068, 0.9683320726237521)","(0.8023300951946091, 0.8552110644139128)","(0.5853962351997845, 0.6912159545106316)","(0.3351104121499387, 0.48305831061547144)","(0.13627650708551603, 0.279296059994957)","(0.02923401338617093, 0.13149347861254698)","(0.0049743246592548135, 0.058517481079669156)","(0.953350322948411, 0.9679927809625718)","(0.8182875453864181, 0.8674375702878802)","(0.6015265101414095, 0.7035505520340685)","(0.3378275165350195, 0.48534217970531746)","(0.12137966589073944, 0.26087337368438435)","(0.041591854598385436, 0.1439017822466243)","(0.004528305515849744, 0.059194764776937525)","(0.9540273665819068, 0.9683320726237521)","(0.8184919262854015, 0.8675366169312003)","(0.5853962351997845, 0.6912159545106316)","(0.3356805880862035, 0.4831985016875895)","(0.1372661860352309, 0.28136259343840536)","(0.04448884099594678, 0.1481451097911485)","(0.0043497312175332335, 0.06407702760823245)","(0.9300551006033803, 0.9509539660004571)","(0.9055989594618297, 0.9336892702962258)","(0.8408547439102995, 0.8864183580589822)","(0.8049348398695574, 0.8597405061011308)","(0.7704787234797861, 0.8333020389175628)","(0.7132121175510008, 0.7901781835629814)","(0.9765377797429239, 0.9831308962339469)","(0.956555633416003, 0.968999840007696)","(0.9102978708830208, 0.9360743858071859)","(0.8471131105782261, 0.8896472406511587)","(0.8116163580050456, 0.8632312516219626)","(0.7881376428153548, 0.8457505941552517)","(0.7403217102197635, 0.8099503143652467)"
